गोलभेडा ठूलो(नेपाली),के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
गोलभेडा ठूलो(भारतीय),केजी,रू १०१.००,रू १०१.००,रू १०१.००
गोलभेडा सानो(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
गोलभेडा सानो(टनेल),के जी,रू ५०.००,रू ६०.००,रू ५५.००
गोलभेडा सानो(भारतीय),के जी,रू ५५.००,रू ६५.००,रू ६०.००
गोलभेडा सानो(तराई),के जी,रू ६०.००,रू ७०.००,रू ६५.००
आलु रातो,के.जी.,रू ३२.००,रू ३६.००,रू ३३.६०
आलु रातो(भारतीय),के जी,रू २५.००,रू ३०.००,रू २७.५०
आलु सेतो,के.जी.,रू २२.००,रू २५.००,रू २३.५०
प्याज सुकेको (भारतीय),के.जी.,रू ५२.००,रू ५५.००,रू ५३.६०
गाजर(लोकल),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
गाजर(तराई),केजी,रू ७०.००,रू ८०.००,रू ७५.००
बन्दा(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बन्दा(तराई),केजी,रू ५०.००,रू ६०.००,रू ५५.००
बन्दा(नरिवल),केजी,रू ५०.००,रू ६०.००,रू ५५.००
काउली स्थानिय,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
स्थानीय काउली(ज्यापु),केजी,रू ६०.००,रू ७०.००,रू ६६.६७
काउली तराई,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
मूला रातो,के.जी.,रू ५०.००,रू ६०.००,रू ५६.६७
मूला सेतो(लोकल),के.जी.,रू २५.००,रू ३०.००,रू २७.५०
सेतो मूला(हाइब्रीड),केजी,रू ३५.००,रू ४०.००,रू ३८.३३
भन्टा लाम्चो,के.जी.,रू ३०.००,रू ४०.००,रू ३६.६७
भन्टा डल्लो,के.जी.,रू ३०.००,रू ४०.००,रू ३६.६७
बोडी(तने),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५६.६७
मटरकोशा,के.जी.,रू ६०.००,रू ७०.००,रू ६६.००
घिउ सिमी(लोकल),के.जी.,रू ९०.००,रू १००.००,रू ९५.००
घिउ सिमी(हाइब्रीड),केजी,रू ९०.००,रू १००.००,रू ९६.६७
घिउ सिमी(राजमा),केजी,रू १३०.००,रू १४०.००,रू १३६.६७
टाटे सिमी,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
तितो करेला,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
लौका,के.जी.,रू ५०.००,रू ६०.००,रू ५६.६७
परवर(तराई),केजी,रू १३०.००,रू १४०.००,रू १३५.००
फर्सी पाकेको,के.जी.,रू २५.००,रू ३०.००,रू २८.३३
फर्सी हरियो(लाम्चो),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
हरियो फर्सी(डल्लो),केजी,रू ३०.००,रू ४०.००,रू ३६.६७
सलगम,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
भिण्डी,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
बरेला,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
पिंडालू,के.जी.,रू ५०.००,रू ६०.००,रू ५६.६७
स्कूस,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
रायो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५६.६७
पालूगो साग,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
चमसूरको साग,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
तोरीको साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
मेथीको साग,के.जी.,रू ११०.००,रू १२०.००,रू ११६.६७
प्याज हरियो,के.जी.,रू ७०.००,रू ८०.००,रू ७६.६७
बकूला,के.जी.,रू १००.००,रू ११०.००,रू १०५.००
तरुल,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
च्याउ(कन्य),के.जी.,रू १५०.००,रू १८०.००,रू १६८.००
च्याउ(डल्ले),के जी,रू २८०.००,रू ३००.००,रू २८८.००
ब्रोकाउली,के.जी.,रू ७०.००,रू ८०.००,रू ७६.६७
चुकुन्दर,के.जी.,रू १००.००,रू ११०.००,रू १०६.६७
रातो बन्दा,के.जी.,रू १५०.००,रू २००.००,रू १७५.००
ग्याठ कोबी,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
सेलरी,के.जी.,रू ३५०.००,रू ४००.००,रू ३८३.३३
पार्सले,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००
सौफको साग,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
पुदीना,के.जी.,रू ७००.००,रू ८००.००,रू ७५०.००
गान्टे मूला,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
इमली,के.जी.,रू १४०.००,रू १५०.००,रू १४६.६७
तामा,के.जी.,रू ८०.००,रू ९०.००,रू ८६.६७
तोफु,के.जी.,रू ८०.००,रू ९०.००,रू ८६.६७
गुन्दुक,के.जी.,रू २००.००,रू २५०.००,रू २२५.००
स्याउ(झोले),के.जी.,रू १८०.००,रू २००.००,रू १९३.३३
स्याउ(फूजी),के जी,रू २५०.००,रू २८०.००,रू २६५.००
केरा,दर्जन,रू ९०.००,रू १००.००,रू ९५.००
कागती,के.जी.,रू ९०.००,रू १००.००,रू ९६.६७
अनार,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००
अंगुर(हरियो),के.जी.,रू २५०.००,रू ३००.००,रू २७५.००
अंगुर(कालो),केजी,रू ४५०.००,रू ५००.००,रू ४७५.००
सुन्तला(नेपाली),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
सुन्तला(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९६.६७
तरबुजा(हरियो),के.जी.,रू ११०.००,रू १२०.००,रू ११६.६७
मौसम,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
भुई कटहर,प्रति गोटा,रू १२०.००,रू १३०.००,रू १२५.००
काक्रो(लोकल),के.जी.,रू ८०.००,रू १००.००,रू ९२.००
काक्रो(हाइब्रीड),के जी,रू ५०.००,रू ६०.००,रू ५६.६७
रुख कटहर,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
निबुवा,के.जी.,रू ४०.००,रू ५०.००,रू ४६.६७
नासपाती(चाइनिज),केजी,रू २२०.००,रू २५०.००,रू २३५.००
मेवा(नेपाली),के.जी.,रू ७०.००,रू ८०.००,रू ७६.६७
मेवा(भारतीय),केजी,रू ८०.००,रू ९०.००,रू ८६.६७
अम्बा,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
लप्सी,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
उखु,प्रति वटा,रू ९०.००,रू १००.००,रू ९६.६७
किनु,के.जी.,रू १२०.००,रू १५०.००,रू १३५.००
स्ट्रबेरी भुईऐसेलु,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००
किवि,केजी,रू २५०.००,रू ३००.००,रू २७५.००
आभोकाडो,के.जी,रू २५०.००,रू ३००.००,रू २७५.००
अमला,के.जी,रू ८०.००,रू ९०.००,रू ८५.००
अदुवा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
खु्र्सानी सुकेको,के.जी.,रू ३००.००,रू ३२०.००,रू ३१०.००
खु्र्सानी हरियो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
