गोलभेडा ठूलो(नेपाली),के.जी.,रू ९०.००,रू १००.००,रू ९६.६७
गोलभेडा ठूलो(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९६.६७
गोलभेडा सानो(लोकल),के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
गोलभेडा सानो(टनेल),के जी,रू २५.००,रू ३०.००,रू २७.५०
गोलभेडा सानो(भारतीय),के जी,रू ४५.००,रू ५५.००,रू ५०.००
गोलभेडा सानो(तराई),के जी,रू ४५.००,रू ५५.००,रू ५०.००
आलु रातो,के.जी.,रू ३५.००,रू ३८.००,रू ३६.४०
आलु रातो(भारतीय),के जी,रू ३२.००,रू ३५.००,रू ३४.००
प्याज सुकेको (भारतीय),के.जी.,रू ५४.००,रू ५६.००,रू ५५.००
गाजर(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
गाजर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००
बन्दा(लोकल),के.जी.,रू २५.००,रू ३५.००,रू ३०.००
बन्दा(तराई),केजी,रू २५.००,रू ३५.००,रू ३०.००
बन्दा(नरिवल),केजी,रू ३०.००,रू ४०.००,रू ३६.६७
काउली स्थानिय,के.जी.,रू ३०.००,रू ४०.००,रू ३७.००
स्थानीय काउली(ज्यापु),केजी,रू ५०.००,रू ६०.००,रू ५६.६७
काउली तराई,के.जी.,रू २५.००,रू ३५.००,रू ३०.००
मूला रातो,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
मूला सेतो(लोकल),के.जी.,रू २५.००,रू ३०.००,रू २७.५०
सेतो मूला(हाइब्रीड),केजी,रू ३०.००,रू ४०.००,रू ३६.६७
भन्टा लाम्चो,के.जी.,रू ३०.००,रू ४०.००,रू ३६.००
भन्टा डल्लो,के.जी.,रू ३०.००,रू ४०.००,रू ३६.६७
बोडी(तने),के.जी.,रू ७०.००,रू ८०.००,रू ७६.६७
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५६.६७
मटरकोशा,के.जी.,रू ६०.००,रू ७०.००,रू ६६.००
घिउ सिमी(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७६.००
घिउ सिमी(हाइब्रीड),केजी,रू ७०.००,रू ८०.००,रू ७६.६७
घिउ सिमी(राजमा),केजी,रू १२०.००,रू १३०.००,रू १२५.००
टाटे सिमी,के.जी.,रू ३५.००,रू ४५.००,रू ४०.००
तितो करेला,के.जी.,रू १२०.००,रू १४०.००,रू १३०.००
लौका,के.जी.,रू ५०.००,रू ६०.००,रू ५६.६७
परवर(तराई),केजी,रू १३०.००,रू १४०.००,रू १३५.००
फर्सी पाकेको,के.जी.,रू २५.००,रू ३०.००,रू २८.३३
फर्सी हरियो(लाम्चो),के.जी.,रू ३०.००,रू ४०.००,रू ३६.००
हरियो फर्सी(डल्लो),केजी,रू ३०.००,रू ४०.००,रू ३६.६७
सलगम,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
भिण्डी,के.जी.,रू १००.००,रू १२०.००,रू ११२.००
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
बरेला,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
पिंडालू,के.जी.,रू ४०.००,रू ५०.००,रू ४६.६७
स्कूस,के.जी.,रू ४०.००,रू ५०.००,रू ४६.६७
रायो साग,के.जी.,रू २०.००,रू ३०.००,रू २६.६७
पालूगो साग,के.जी.,रू ६०.००,रू ७०.००,रू ६३.३३
चमसूरको साग,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
तोरीको साग,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
मेथीको साग,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
प्याज हरियो,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
बकूला,के.जी.,रू ९०.००,रू १००.००,रू ९६.६७
तरुल,के.जी.,रू ५०.००,रू ६०.००,रू ५६.६७
च्याउ(कन्य),के.जी.,रू १२०.००,रू १५०.००,रू १३५.००
च्याउ(डल्ले),के जी,रू २५०.००,रू ३००.००,रू २७५.००
ब्रोकाउली,के.जी.,रू ५०.००,रू ६०.००,रू ५६.६७
चुकुन्दर,के.जी.,रू १००.००,रू ११०.००,रू १०६.६७
सजिवन,के.जी.,रू ३८०.००,रू ४००.००,रू ३९०.००
रातो बन्दा,के.जी.,रू १५०.००,रू २००.००,रू १७५.००
जिरीको साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००
ग्याठ कोबी,के.जी.,रू ७०.००,रू ८०.००,रू ७६.६७
सेलरी,के.जी.,रू ३००.००,रू ३५०.००,रू ३२५.००
पार्सले,के.जी.,रू ४५०.००,रू ५००.००,रू ४७५.००
सौफको साग,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
पुदीना,के.जी.,रू ७००.००,रू ८००.००,रू ७५०.००
गान्टे मूला,के.जी.,रू ७०.००,रू ८०.००,रू ७६.६७
इमली,के.जी.,रू १५०.००,रू १६०.००,रू १५६.६७
तामा,के.जी.,रू ९०.००,रू १००.००,रू ९६.६७
तोफु,के.जी.,रू ९०.००,रू १००.००,रू ९६.६७
गुन्दुक,के.जी.,रू २००.००,रू २५०.००,रू २२५.००
स्याउ(झोले),के.जी.,रू १८०.००,रू २००.००,रू १९०.००
स्याउ(फूजी),के जी,रू २५०.००,रू २८०.००,रू २७०.००
