,Date,commodity,Average,supply_Volume,temperature_avg,precipitation,wind_speed,air_pressure,rainfall_mm,diesel,USD_to_NPR,Season
0,2023-01-01,Brinjal_Long,45.0,9600.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
1,2023-01-01,Broccoli,55.0,9475.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
2,2023-01-01,Cabbage,22.33,39450.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
3,2023-01-01,Lady_Finger,85.0,14000.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
4,2023-01-01,Mustard_Leaf,35.0,9660.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
5,2023-01-01,Pea_Shell,45.0,37100.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
6,2023-01-01,Potato_Red,49.0,256319.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
7,2023-01-01,Pumpkin_Ripe,45.0,3500.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
8,2023-01-01,Spinach,75.0,1200.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
9,2023-01-01,Sweet_Potato,75.0,3550.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
10,2023-01-01,Taro,45.0,6900.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
11,2023-01-01,Tomato_Big,45.0,10000.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
12,2023-01-01,Tomato_Small,32.56,61250.0,9.6,0.0,6.2,1022.4,0.2,172.0,130.54,Winter
13,2023-01-02,Beetroot,76.67,1000.0,9.7,0.0,5.4,1023.0,0.0,172.0,130.54,Winter
14,2023-01-02,Bitter_Gourd,95.0,8500.0,9.7,0.0,5.4,1023.0,0.0,172.0,130.54,Winter
15,2023-01-02,Brinjal_Long,37.5,13325.0,9.7,0.0,5.4,1023.0,0.0,172.0,130.54,Winter
16,2023-01-02,Broccoli,56.67,6095.0,9.7,0.0,5.4,1023.0,0.0,172.0,130.54,Winter
17,2023-01-02,Cabbage,21.25,35770.0,9.7,0.0,5.4,1023.0,0.0,172.0,130.54,Winter
18,2023-01-02,Chamsur_Leaf,76.67,400.0,9.7,0.0,5.4,1023.0,0.0,172.0,130.54,Winter
19,2023-01-02,Mustard_Leaf,38.33,10180.0,9.7,0.0,5.4,1023.0,0.0,172.0,130.54,Winter
20,2023-01-02,Pea_Shell,45.0,30000.0,9.7,0.0,5.4,1023.0,0.0,172.0,130.54,Winter
