गोलभेडा ठूलो(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
गोलभेडा ठूलो(भारतीय),केजी,रू ४०.००,रू ५०.००,रू ४५.००
गोलभेडा सानो(लोकल),के.जी.,रू १०.००,रू १५.००,रू १२.३३
गोलभेडा सानो(टनेल),के जी,रू १५.००,रू २०.००,रू १७.६७
गोलभेडा सानो(भारतीय),के जी,रू २०.००,रू २५.००,रू २२.३३
गोलभेडा सानो(तराई),के जी,रू २५.००,रू ३०.००,रू २७.६७
आलु रातो,के.जी.,रू ४८.००,रू ५०.००,रू ४९.००
आलु रातो(भारतीय),के जी,रू ३४.००,रू ३५.००,रू ३४.३३
आलु सेतो,के.जी.,रू २६.००,रू २८.००,रू २७.००
प्याज सुकेको (भारतीय),के.जी.,रू ५०.००,रू ५२.००,रू ५१.००
गाजर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बन्दा(लोकल),के.जी.,रू २०.००,रू २५.००,रू २२.३३
बन्दा(तराई),केजी,रू २०.००,रू २५.००,रू २२.३३
बन्दा(नरिवल),केजी,रू २०.००,रू २५.००,रू २२.३३
काउली स्थानिय,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
स्थानीय काउली(ज्यापु),केजी,रू ४०.००,रू ५०.००,रू ४५.००
काउली तराई,के.जी.,रू २०.००,रू २५.००,रू २२.३३
मूला रातो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
मूला सेतो(लोकल),के.जी.,रू २०.००,रू २५.००,रू २२.३३
सेतो मूला(हाइब्रीड),केजी,रू ३०.००,रू ३५.००,रू ३२.६७
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बोडी(तने),के.जी.,रू १००.००,रू ११०.००,रू १०५.००
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५५.००
मटरकोशा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
घिउ सिमी(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
घिउ सिमी(हाइब्रीड),केजी,रू ७०.००,रू ८०.००,रू ७५.००
घिउ सिमी(राजमा),केजी,रू ११०.००,रू १२०.००,रू ११५.००
टाटे सिमी,के.जी.,रू २५.००,रू ३०.००,रू २७.६७
तितो करेला,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
लौका,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
परवर(लोकल),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
परवर(तराई),केजी,रू ११०.००,रू १२०.००,रू ११५.००
चिचिण्डो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
घिरौला,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
फर्सी पाकेको,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
फर्सी हरियो(लाम्चो),के.जी.,रू २०.००,रू २५.००,रू २२.३३
हरियो फर्सी(डल्लो),केजी,रू २०.००,रू ३०.००,रू २५.००
सलगम,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
